fips_cd,reporter_state,reporter_county,total_gms
66010,GU,GUAM,3.40538292695625E7
06113,CA,YOLO,2.7682291033828944E7
39173,OH,WOOD,2.5300040896726944E7
12099,FL,PALM BEACH,1.9832969007021587E7
05007,AR,BENTON,1.8007371067140244E7
12105,FL,POLK,1.79325191774956E7
06037,CA,LOS ANGELES,1.6014550727935791E7
04013,AZ,MARICOPA,1.3602009160568349E7
47093,TN,KNOX,1.3517889452615527E7
39049,OH,FRANKLIN,1.2952340418608455E7
25009,MA,ESSEX,1.2624994518161412E7
34015,NJ,GLOUCESTER,1.1714908418578735E7
06067,CA,SACRAMENTO,1.1351559964613376E7
34005,NJ,BURLINGTON,1.086927827909712E7
13135,GA,GWINNETT,1.0537220035805376E7
12095,FL,ORANGE,1.0465567173018437E7
36081,NY,QUEENS,9661196.685685186
17043,IL,DUPAGE,9391935.944876777
54069,WV,OHIO,9239958.089498093
48139,TX,ELLIS,9196536.869613215
12011,FL,BROWARD,8407066.266160268
37081,NC,GUILFORD,8039899.9064866295
36067,NY,ONONDAGA,7902423.414113779
18097,IN,MARION,7767209.505074449
06065,CA,RIVERSIDE,7496690.841355959
48121,TX,DENTON,6978271.477179109
26163,MI,WAYNE,6956242.157006898
53033,WA,KING,6627156.079171875
49035,UT,SALT LAKE,6575594.993991631
45083,SC,SPARTANBURG,6533115.990230332
40109,OK,OKLAHOMA,6485534.900939553
22017,LA,CADDO,6351711.547033605
39061,OH,HAMILTON,6048929.8925774945
24033,MD,PRINCE GEORGES,5527050.611079821
01117,AL,SHELBY,5526658.95340674
24025,MD,HARFORD,5461795.617512075
17081,IL,JEFFERSON,5256418.159381588
01073,AL,JEFFERSON,5154874.044358483
42095,PA,NORTHAMPTON,5046683.103038053
48339,TX,MONTGOMERY,4999460.205668042
09003,CT,HARTFORD,4920247.704092107
06059,CA,ORANGE,4905171.080238718
29183,MO,SAINT CHARLES,4727470.867802214
28089,MS,MADISON,4615228.547344744
42073,PA,LAWRENCE,4590434.343181168
37063,NC,DURHAM,4483910.590706264
39047,OH,FAYETTE,4422992.007230909
41005,OR,CLACKAMAS,4275372.328869906
47157,TN,SHELBY,4224270.393951822
55025,WI,DANE,4075794.0810910426
53061,WA,SNOHOMISH,4061030.8763486957
21145,KY,MCCRACKEN,3975912.631670884
39095,OH,LUCAS,3606777.98948581
36029,NY,ERIE,3560564.201515604
39063,OH,HANCOCK,3454833.226681908
13151,GA,HENRY,3377989.38201783
29165,MO,PLATTE,3252424.905151456
26065,MI,INGHAM,3250351.926045034
13277,GA,TIFT,3221822.563201259
48157,TX,FORT BEND,3033577.51543923
13185,GA,LOWNDES,3011130.884074932
42013,PA,BLAIR,3006958.725908933
06031,CA,KINGS,3002561.3944211043
18179,IN,WELLS,2979281.303650975
17099,IL,LA SALLE,2794541.4696253524
18107,IN,MONTGOMERY,2739239.758500984
06001,CA,ALAMEDA,2629175.2756473427
47011,TN,BRADLEY,2583366.192940799
05055,AR,GREENE,2545367.1130474876
08001,CO,ADAMS,2503171.7987616137
51087,VA,HENRICO,2420724.843911683
45007,SC,ANDERSON,2410673.0748604354
34017,NJ,HUDSON,2315419.1588873933
08031,CO,DENVER,2303262.5756493066
24043,MD,WASHINGTON,2258579.2198807695
17197,IL,WILL,2018471.2283227427
55063,WI,LA CROSSE,1929411.0137293153
29095,MO,JACKSON,1893428.0357033752
37183,NC,WAKE,1829175.3178538703
21111,KY,JEFFERSON,1720735.2699001273
04005,AZ,COCONINO,1709602.8059201632
36103,NY,SUFFOLK,1688328.9804429112
27123,MN,RAMSEY,1671507.5442914146
22097,LA,SAINT LANDRY,1577470.8148421983
26125,MI,OAKLAND,1574483.6157235722
15003,HI,HONOLULU,1511592.4948869355
06077,CA,SAN JOAQUIN,1507664.0445170547
44007,RI,PROVIDENCE,1484234.077575177
29031,MO,CAPE GIRARDEAU,1436384.2982723427
25005,MA,BRISTOL,1344446.4875011127
05069,AR,JEFFERSON,1332100.8650550426
31153,NE,SARPY,1317526.6792508666
55109,WI,SAINT CROIX,1285614.7646259726
01089,AL,MADISON,1227338.5665799924
48029,TX,BEXAR,1156616.0584650205
48439,TX,TARRANT,1122274.9573902227
01071,AL,JACKSON,1082565.8990865175
01125,AL,TUSCALOOSA,1005029.9869450587
39165,OH,WARREN,977995.0340222558
33015,NH,ROCKINGHAM,900613.6818946078
51033,VA,CAROLINE,872438.2167509637
27053,MN,HENNEPIN,819632.6163338372
29077,MO,GREENE,758975.5148416064
36055,NY,MONROE,745574.5969892817
17167,IL,SANGAMON,743797.4286172308
34003,NJ,BERGEN,730592.5518214033
37119,NC,MECKLENBURG,726010.6083770312
21035,KY,CALLOWAY,711117.677149994
42017,PA,BUCKS,636022.8904340114
09015,CT,WINDHAM,608707.9684650011
24005,MD,BALTIMORE,577967.6914200281
06099,CA,STANISLAUS,577532.832600001
12061,FL,INDIAN RIVER,486586.46624999645
17097,IL,LAKE,471340.7062065024
50007,VT,CHITTENDEN,434920.075975826
19117,IA,LUCAS,424339.6922999838
26081,MI,KENT,423889.92550500965
13077,GA,COWETA,416811.3643750052
36063,NY,NIAGARA,376263.6662559992
42125,PA,WASHINGTON,365477.08921500563
02020,AK,ANCHORAGE,344477.00053310546
40071,OK,KAY,340997.7553500015
12031,FL,DUVAL,336091.77556452795
36089,NY,SAINT LAWRENCE,330039.4099500004
47141,TN,PUTNAM,310577.246856
42077,PA,LEHIGH,309246.56628500303
38017,ND,CASS,300535.8771850546
41051,OR,MULTNOMAH,281885.98246999976
17031,IL,COOK,276887.9825150012
12086,FL,MIAMI-DADE,275197.77542775037
47149,TN,RUTHERFORD,235451.32178850003
47037,TN,DAVIDSON,229306.79680147488
21211,KY,SHELBY,227993.05998785055
27003,MN,ANOKA,216035.28349580127
42101,PA,PHILADELPHIA,200075.66261000026
39103,OH,MEDINA,195915.62803500093
72025,PR,CAGUAS,181344.3217802758
40143,OK,TULSA,178112.94634000005
29189,MO,SAINT LOUIS,172445.28016922774
13139,GA,HALL,166751.29280094843
36015,NY,CHEMUNG,157892.2551000007
38101,ND,WARD,153486.27828155048
34027,NJ,MORRIS,147257.55261872514
48071,TX,CHAMBERS,147126.1484100753
45041,SC,FLORENCE,143035.31515470028
12127,FL,VOLUSIA,136602.02850000016
21009,KY,BARREN,135774.96501000042
72061,PR,GUAYNABO,129105.41701357547
36025,NY,DELAWARE,124337.68355999999
45045,SC,GREENVILLE,103383.7039500004
22073,LA,OUACHITA,77915.05567500026
28075,MS,LAUDERDALE,71165.21365589996
55131,WI,WASHINGTON,58291.79085620011
12103,FL,PINELLAS,58172.86106825
06079,CA,SAN LUIS OBISPO,56072.441429340004
46013,SD,BROWN,54873.88501739996
42091,PA,MONTGOMERY,54473.701380000006
22089,LA,SAINT CHARLES,50943.215769
06073,CA,SAN DIEGO,48639.204077725066
32031,NV,WASHOE,43820.89482500007
04019,AZ,PIMA,35066.26109250004
06111,CA,VENTURA,34342.01310050001
42071,PA,LANCASTER,33319.433096999965
36079,NY,PUTNAM,31796.882699999995
06107,CA,TULARE,31175.014227499873
51021,VA,BLAND,30430.126300000014
28121,MS,RANKIN,28227.49391250001
18127,IN,PORTER,27737.17288500002
45063,SC,LEXINGTON,25078.61334650003
21067,KY,FAYETTE,23930.89691500002
06071,CA,SAN BERNARDINO,23449.557024999955
08059,CO,JEFFERSON,22021.580734999996
13121,GA,FULTON,21142.910267499985
28047,MS,HARRISON,20636.071845000013
10003,DE,NEW CASTLE,19259.442900000005
35001,NM,BERNALILLO,16672.54062
42003,PA,ALLEGHENY,13441.393499999993
72127,PR,SAN JUAN,11256.790453999993
48201,TX,HARRIS,11246.172982325
21171,KY,MONROE,10464.036299999998
34035,NJ,SOMERSET,9274.695630000002
72113,PR,PONCE,8522.667714999998
13215,GA,MUSCOGEE,8466.352514999988
37135,NC,ORANGE,7109.865130000001
21029,KY,BULLITT,6935.963649999995
42063,PA,INDIANA,6866.038154999997
36093,NY,SCHENECTADY,6772.912499999997
37181,NC,VANCE,5881.536674999995
72051,PR,DORADO,5281.259797999998
36005,NY,BRONX,5243.178420875
25017,MA,MIDDLESEX,4967.460221999994
31047,NE,DAWSON,4714.295204999999
36095,NY,SCHOHARIE,4219.761083
32003,NV,CLARK,3998.4515499999993
45019,SC,CHARLESTON,3961.8321889999997
36061,NY,NEW YORK,3777.732156
11001,DC,DISTRICT OF COLUMBIA,2986.4656250000003
48113,TX,DALLAS,2949.9910999999997
53053,WA,PIERCE,2841.444900000001
20209,KS,WYANDOTTE,2670.6221000000014
33011,NH,HILLSBOROUGH,2490.0287499999995
45079,SC,RICHLAND,2462.1618000000026
28071,MS,LAFAYETTE,1933.420575
37021,NC,BUNCOMBE,1908.2207999999996
51775,VA,SALEM,1609.9099499999995
37195,NC,WILSON,1587.25325
41067,OR,WASHINGTON,1513.8027000000022
42079,PA,LUZERNE,1497.8579775000005
01019,AL,CHEROKEE,1438.4088000000002
34023,NJ,MIDDLESEX,1312.2045
18011,IN,BOONE,1264.3779000000027
42043,PA,DAUPHIN,1255.599600000002
42133,PA,YORK,1235.318700000002
16027,ID,CANYON,1171.1463000000017
22061,LA,LINCOLN,1128.61695
18057,IN,HAMILTON,1072.9201500000001
06041,CA,MARIN,995.3627369999999
12073,FL,LEON,960.685044
13245,GA,RICHMOND,712.048057575
01095,AL,MARSHALL,681.0749999999999
72021,PR,BAYAMON,602.6448875000001
72137,PR,TOA BAJA,551.0653500000002
19015,IA,BOONE,542.7411000000004
36047,NY,KINGS,537.0845025750002
48021,TX,BASTROP,488.55779999999993
09001,CT,FAIRFIELD,437.00799
37025,NC,CABARRUS,423.40162499999997
55095,WI,POLK,364.60215
48453,TX,TRAVIS,347.04252299999996
39119,OH,MUSKINGUM,328.81695599999995
19153,IA,POLK,295.74416610000003
34013,NJ,ESSEX,268.62203399999953
72005,PR,AGUADILLA,260.20815000000005
13117,GA,FORSYTH,222.18644999999998
51041,VA,CHESTERFIELD,204.77075000000002
18141,IN,ST JOSEPH,196.14959999999996
28139,MS,TIPPAH,157.1013
21213,KY,SIMPSON,145.296
24027,MD,HOWARD,121.08
42045,PA,DELAWARE,115.34630000000001
39029,OH,COLUMBIANA,100.40799999999999
12057,FL,HILLSBOROUGH,97.77210000000001
37129,NC,NEW HANOVER,82.78281
53011,WA,CLARK,74.85715
55079,WI,MILWAUKEE,67.36089999999999
29021,MO,BUCHANAN,62.65890000000002
28033,MS,DESOTO,61.721799999999995
25023,MA,PLYMOUTH,55.639900000000004
40085,OK,LOVE,52.82115
34025,NJ,MONMOUTH,52.44525000000001
26115,MI,MONROE,48.431999999999995
12101,FL,PASCO,43.6974693
25025,MA,SUFFOLK,42.22665
18071,IN,JACKSON,39.351
26099,MI,MACOMB,36.48225000000001
22033,LA,EAST BATON ROUGE,35.712800000000016
13067,GA,COBB,30.037999999999997
12121,FL,SUWANNEE,28.4695725
22063,LA,LIVINGSTON,18.010650000000002
46099,SD,MINNEHAHA,16.0431
25021,MA,NORFOLK,14.471599999999997
19083,IA,HARDIN,13.3188
47163,TN,SULLIVAN,13.016100000000002
36059,NY,NASSAU,9.125824999999999
37113,NC,MACON,9.081
36065,NY,ONEIDA,8.964999999999998
13115,GA,FLOYD,6.2755
19167,IA,SIOUX,5.7513000000000005
26077,MI,KALAMAZOO,5.29725
27013,MN,BLUE EARTH,4.525365
54053,WV,MASON,3.30321375
42029,PA,CHESTER,3.2207279999999994
06029,CA,KERN,3.027
72031,PR,CAROLINA,2.27025
40131,OK,ROGERS,1.3318800000000002
09009,CT,NEW HAVEN,0.9413249999999999
37067,NC,FORSYTH,0.6674534999999999
12083,FL,MARION,0.6054
48423,TX,SMITH,0.6054
34031,NJ,PASSAIC,0.4555952999999999
05045,AR,FAULKNER,0.44825
45013,SC,BEAUFORT,0.44825
17089,IL,KANE,0.3027
24001,MD,ALLEGANY,0.075675
31109,NE,LANCASTER,0.03586
