AK,ANCHORAGE
AL,CHEROKEE
AL,JACKSON
AL,JEFFERSON
AL,MADISON
AL,MARSHALL
AL,SHELBY
AL,TUSCALOOSA
AR,BENTON
AR,FAULKNER
AR,GREENE
AR,JEFFERSON
AZ,COCONINO
AZ,MARICOPA
AZ,PIMA
CA,ALAMEDA
CA,KERN
CA,KINGS
CA,LOS ANGELES
CA,MARIN
CA,ORANGE
CA,RIVERSIDE
CA,SACRAMENTO
CA,SAN BERNARDINO
CA,SAN DIEGO
CA,SAN JOAQUIN
CA,SAN LUIS OBISPO
CA,STANISLAUS
CA,TULARE
CA,VENTURA
CA,YOLO
CO,ADAMS
CO,DENVER
CO,JEFFERSON
CT,FAIRFIELD
CT,HARTFORD
CT,NEW HAVEN
CT,WINDHAM
DC,DISTRICT OF COLUMBIA
DE,NEW CASTLE
FL,BROWARD
FL,DUVAL
FL,HILLSBOROUGH
FL,INDIAN RIVER
FL,LEON
FL,MARION
FL,MIAMI-DADE
FL,ORANGE
FL,PALM BEACH
FL,PASCO
FL,PINELLAS
FL,POLK
FL,SUWANNEE
FL,VOLUSIA
GA,COBB
GA,COWETA
GA,FLOYD
GA,FORSYTH
GA,FULTON
GA,GWINNETT
GA,HALL
GA,HENRY
GA,LOWNDES
GA,MUSCOGEE
GA,RICHMOND
GA,TIFT
GU,GUAM
HI,HONOLULU
IA,BOONE
IA,HARDIN
IA,LUCAS
IA,POLK
IA,SIOUX
ID,CANYON
IL,COOK
IL,DUPAGE
IL,JEFFERSON
IL,KANE
IL,LA SALLE
IL,LAKE
IL,SANGAMON
IL,WILL
IN,BOONE
IN,HAMILTON
IN,JACKSON
IN,MARION
IN,MONTGOMERY
IN,PORTER
IN,ST JOSEPH
IN,WELLS
KS,WYANDOTTE
KY,BARREN
KY,BULLITT
KY,CALLOWAY
KY,FAYETTE
KY,JEFFERSON
KY,MCCRACKEN
KY,MONROE
KY,SHELBY
KY,SIMPSON
LA,CADDO
LA,EAST BATON ROUGE
LA,LINCOLN
LA,LIVINGSTON
LA,OUACHITA
LA,SAINT CHARLES
LA,SAINT LANDRY
MA,BRISTOL
MA,ESSEX
MA,MIDDLESEX
MA,NORFOLK
MA,PLYMOUTH
MA,SUFFOLK
MD,ALLEGANY
MD,BALTIMORE
MD,HARFORD
MD,HOWARD
MD,PRINCE GEORGES
MD,WASHINGTON
MI,INGHAM
MI,KALAMAZOO
MI,KENT
MI,MACOMB
MI,MONROE
MI,OAKLAND
MI,WAYNE
MN,ANOKA
MN,BLUE EARTH
MN,HENNEPIN
MN,RAMSEY
MO,BUCHANAN
MO,CAPE GIRARDEAU
MO,GREENE
MO,JACKSON
MO,PLATTE
MO,SAINT CHARLES
MO,SAINT LOUIS
MS,DESOTO
MS,HARRISON
MS,LAFAYETTE
MS,LAUDERDALE
MS,MADISON
MS,RANKIN
MS,TIPPAH
NC,BUNCOMBE
NC,CABARRUS
NC,DURHAM
NC,FORSYTH
NC,GUILFORD
NC,MACON
NC,MECKLENBURG
NC,NEW HANOVER
NC,ORANGE
NC,VANCE
NC,WAKE
NC,WILSON
ND,CASS
ND,WARD
NE,DAWSON
NE,LANCASTER
NE,SARPY
NH,HILLSBOROUGH
NH,ROCKINGHAM
NJ,BERGEN
NJ,BURLINGTON
NJ,ESSEX
NJ,GLOUCESTER
NJ,HUDSON
NJ,MIDDLESEX
NJ,MONMOUTH
NJ,MORRIS
NJ,PASSAIC
NJ,SOMERSET
NM,BERNALILLO
NV,CLARK
NV,WASHOE
NY,BRONX
NY,CHEMUNG
NY,DELAWARE
NY,ERIE
NY,KINGS
NY,MONROE
NY,NASSAU
NY,NEW YORK
NY,NIAGARA
NY,ONEIDA
NY,ONONDAGA
NY,PUTNAM
NY,QUEENS
NY,SAINT LAWRENCE
NY,SCHENECTADY
NY,SCHOHARIE
NY,SUFFOLK
OH,COLUMBIANA
OH,FAYETTE
OH,FRANKLIN
OH,HAMILTON
OH,HANCOCK
OH,LUCAS
OH,MEDINA
OH,MUSKINGUM
OH,WARREN
OH,WOOD
OK,KAY
OK,LOVE
OK,OKLAHOMA
OK,ROGERS
OK,TULSA
OR,CLACKAMAS
OR,MULTNOMAH
OR,WASHINGTON
PA,ALLEGHENY
PA,BLAIR
PA,BUCKS
PA,CHESTER
PA,DAUPHIN
PA,DELAWARE
PA,INDIANA
PA,LANCASTER
PA,LAWRENCE
PA,LEHIGH
PA,LUZERNE
PA,MONTGOMERY
PA,NORTHAMPTON
PA,PHILADELPHIA
PA,WASHINGTON
PA,YORK
PR,AGUADILLA
PR,BAYAMON
PR,CAGUAS
PR,CAROLINA
PR,DORADO
PR,GUAYNABO
PR,PONCE
PR,SAN JUAN
PR,TOA BAJA
REPORTER_STATE,REPORTER_COUNTY
RI,PROVIDENCE
SC,ANDERSON
SC,BEAUFORT
SC,CHARLESTON
SC,FLORENCE
SC,GREENVILLE
SC,LEXINGTON
SC,RICHLAND
SC,SPARTANBURG
SD,BROWN
SD,MINNEHAHA
TN,BRADLEY
TN,DAVIDSON
TN,KNOX
TN,PUTNAM
TN,RUTHERFORD
TN,SHELBY
TN,SULLIVAN
TX,BASTROP
TX,BEXAR
TX,CHAMBERS
TX,DALLAS
TX,DENTON
TX,ELLIS
TX,FORT BEND
TX,HARRIS
TX,MONTGOMERY
TX,SMITH
TX,TARRANT
TX,TRAVIS
UT,SALT LAKE
VA,BLAND
VA,CAROLINE
VA,CHESTERFIELD
VA,HENRICO
VA,SALEM
VT,CHITTENDEN
WA,CLARK
WA,KING
WA,PIERCE
WA,SNOHOMISH
WI,DANE
WI,LA CROSSE
WI,MILWAUKEE
WI,POLK
WI,SAINT CROIX
WI,WASHINGTON
WV,MASON
WV,OHIO
