state,2006,2007,2008,2009,2010,2011,2012
Alaska,114209,129833,141068,149073,156638,163157,161529
Alabama,890247,1001248,1091830,1228456,1349880,1593462,1858567
Arkansas,504364,588880,663726,750186,843898,931640,924705
Arizona,1064407,1239434,1378380,1527864,1679022,1982544,2114926
California,5992945,6532606,6982623,7369724,8155553,9326386,9697278
Colorado,697971,793973,901244,990331,1103596,1268350,1321545
Connecticut,576668,655746,672285,703805,756174,814798,855703
District of Columbia,48713,56365,55119,59376,65349,70668,72277
Delaware,202027,237915,289974,314554,358069,390350,331944
Florida,4248382,4454909,5181875,6188757,7489283,6567285,4922873
Georgia,1427521,1636219,1775330,1978244,2247351,2559695,2554810
Hawaii,167366,181053,200673,208858,224258,238426,248642
Iowa,294313,326411,373627,415766,482221,553020,550211
Idaho,238894,257487,278089,313907,381222,431537,431371
Illinois,1108463,1125902,1214982,1375848,1682648,1980159,2004374
Indiana,1106962,1380649,1552020,1731517,1927876,2223788,2624775
Kansas,720692,870803,846505,631074,696018,809389,804682
Kentucky,1011821,1124460,1230761,1377992,1581703,1772079,1707552
Louisiana,944412,1025191,1057660,1127703,1172959,1308623,1310424
Massachusetts,1110922,1233125,1273366,1333840,1424533,1528082,1537026
Maryland,952419,1088261,1184216,1334020,1503898,1603980,1712686
Maine,336789,371173,395939,408181,461731,488462,476729
Michigan,1367088,1558311,1733335,1906904,2143834,2472610,2807408
Minnesota,501990,559914,619446,695664,778053,864499,939984
Missouri,909429,1032090,1152256,1318099,1520367,1749240,1814358
Mississippi,461344,516720,565813,635637,705831,788497,839163
Montana,163618,175236,194193,214271,247938,272980,275540
North Carolina,1750743,2002461,2172107,2442414,2644536,2941228,3030175
North Dakota,55649,71628,73667,75944,79338,101384,103799
Nebraska,221012,233139,253222,280993,304792,344047,330165
New Hampshire,223179,255045,275671,299485,324339,343931,351080
New Jersey,1258194,1467550,1633125,1667132,1818272,1997170,1919381
New Mexico,316581,368256,426914,489088,551149,593663,584973
Nevada,689208,759188,815737,866223,971366,1074464,1084456
New York,2257593,2634415,2943542,3257374,3631174,3968800,3850314
Ohio,2122709,2343716,2605328,2934944,3264177,3539472,3786855
Oklahoma,764563,871741,962406,1117994,1246315,1371775,1377790
Oregon,915071,1054405,1178390,1238399,1505677,1638494,1565642
Pennsylvania,2088993,2438798,2684545,2930970,3207919,3651918,3761554
Rhode Island,164878,186991,199017,213589,232986,260878,269181
South Carolina,1005247,1172024,1356423,1930722,2205097,2523078,2670215
South Dakota,66606,80216,90746,107026,121763,160741,142158
Tennessee,1431507,1648348,1891227,2159960,2545459,2814902,2708375
Texas,2803259,3250099,3326741,3647843,3913587,4439776,4223939
Utah,550497,589933,622672,690244,747477,809190,804590
Virginia,1114853,1226800,1300170,1473055,1628678,1851958,2029119
Vermont,95206,109777,120389,132580,133285,133258,132414
Washington,1432687,1581673,1722359,1786044,1974704,2050022,2043427
Wisconsin,791939,882828,992113,1115366,1283066,1431411,1499736
West Virginia,535523,629205,705759,758586,776494,813966,843695
Wyoming,82162,92228,98101,107706,124097,133667,142464
